locality,rupees_per_sqft,as_of,source
Bangalore,12100,2026-09,squareyards.com/property-rates-in-bangalore
Bellandur,15100,2026,99acres.com/property-rates-and-price-trends-in-bellandur-bangalore-south-prffid
Bommasandra,7050,2026,99acres.com/property-rates-and-price-trends-in-bommasandra-bangalore-south-prffid
Brookefield,16400,2026,99acres.com/property-rates-and-price-trends-in-brookefield-bangalore-east-prffid
BTM Layout,14500,2026,99acres.com/property-rates-and-price-trends-in-btm-layout-bangalore-south-prffid
Chandapura,7100,2026,squareyards.com/property-rates/chandapura-bangalore
Electronic City,7400,2026,99acres.com/property-rates-and-price-trends-in-electronic-city-bangalore-south-prffid
Electronic City Phase I,9950,2026,squareyards.com/property-rates/electronic-city-bangalore
Electronic City Phase II,7750,2026,99acres.com/property-rates-and-price-trends-in-electronic-city-phase-2-bangalore-south-prffid
Hebbal,15750,2026,99acres.com/property-rates-and-price-trends-in-hebbal-bangalore-north-prffid
HSR Layout,12750,2026,99acres.com/property-rates-and-price-trends-in-hsr-layout-bangalore-south-prffid
Indira Nagar,19450,2026,99acres.com/property-rates-and-price-trends-in-indira-nagar-bangalore-east-prffid
Koramangala,19950,2026,99acres.com/property-rates-and-price-trends-in-koramangala-bangalore-south-prffid
KR Puram,11550,2026,squareyards.com/property-rates/kr-puram-bangalore
Marathahalli,14500,2026,99acres.com/property-rates-and-price-trends-in-marathahalli-bangalore-east-prffid
Sarjapur,10750,2026,squareyards.com/property-rates/sarjapur-bangalore
Sarjapur Road,12200,2026,squareyards.com/property-rates/sarjapur-road-bangalore
Whitefield,13550,2026,99acres.com/property-rates-and-price-trends-in-whitefield-bangalore-east-prffid
Yelahanka,10750,2026,99acres.com/property-rates-and-price-trends-in-yelahanka-bangalore-north-prffid
